"source","source_entity","source_id","relation","target","target_entity","target_id","field","raw_label","confidence","resolution_rule","legacy_path","original_source","original_relation","original_target","edge_cleaning"
"akteur_beteiligung/55_Great_Suffolk_Street_London__001__Fabrix","akteur_beteiligung","55_Great_Suffolk_Street_London__001__Fabrix","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","fallstudie","55_Great_Suffolk_Street_London","fallstudie","fallstudie/55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__001__Fabrix","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__001__Fabrix","akteur_beteiligung","55_Great_Suffolk_Street_London__001__Fabrix","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__001__Fabrix","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__001__Fabrix","akteur_beteiligung","55_Great_Suffolk_Street_London__001__Fabrix","has_akteurrolle","akteurrolle/Bauherr_Auftraggeber","akteurrolle","Bauherr_Auftraggeber","beziehung","Developer / Bauherr","rule_high","role_client_owner","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__001__Fabrix","has_akteurrolle","akteurrolle/Bauherr_Auftraggeber","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__001__Fabrix","akteur_beteiligung","55_Great_Suffolk_Street_London__001__Fabrix","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__001__Fabrix","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__002__Hawkins_Brown","akteur_beteiligung","55_Great_Suffolk_Street_London__002__Hawkins_Brown","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","fallstudie","55_Great_Suffolk_Street_London","fallstudie","fallstudie/55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__002__Hawkins_Brown","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__002__Hawkins_Brown","akteur_beteiligung","55_Great_Suffolk_Street_London__002__Hawkins_Brown","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__002__Hawkins_Brown","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__002__Hawkins_Brown","akteur_beteiligung","55_Great_Suffolk_Street_London__002__Hawkins_Brown","has_akteurrolle","akteurrolle/Architektur","akteurrolle","Architektur","beziehung","Architekt","rule_high","role_architecture","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__002__Hawkins_Brown","has_akteurrolle","akteurrolle/Architektur","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__002__Hawkins_Brown","akteur_beteiligung","55_Great_Suffolk_Street_London__002__Hawkins_Brown","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","bauobjekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__002__Hawkins_Brown","relates_to_bauobjekt","bauobjekt/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__003__Symmetrys","akteur_beteiligung","55_Great_Suffolk_Street_London__003__Symmetrys","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","fallstudie","55_Great_Suffolk_Street_London","fallstudie","fallstudie/55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__003__Symmetrys","belongs_to_fallstudie","fallstudie/55_Great_Suffolk_Street_London","unchanged"
"akteur_beteiligung/55_Great_Suffolk_Street_London__003__Symmetrys","akteur_beteiligung","55_Great_Suffolk_Street_London__003__Symmetrys","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","projekt","55_Great_Suffolk_Street_London","structural","frontmatter","Gebäude\55_Great_Suffolk_Street_London.md","akteur_beteiligung/55_Great_Suffolk_Street_London__003__Symmetrys","belongs_to_projekt","projekt/55_Great_Suffolk_Street_London","unchanged"
