"legacy_path","top_folder","legacy_type","title","bytes","heading_count","first_headings","url_count","wikilink_count","table_line_count","content_flags","migration_action","target_primary","target_secondary","risk_flags"
"_extract\Gebaeude_Entity_Extraction.md","_extract","""extraction_report""","Gebaeude Entity Extraction","206695","34","Laufzusammenfassung | Dateien Ohne Erkanntes Mapping | Angefragte Entitaeten | abbruchmethode | akteur / person | aufbereitungsmethode | bauteil | bauteilboerse","0","0","1833","furniture_warning;source_conflict;certification_terms;platform_terms;donor_receiver_terms;numeric_or_metric_terms","archive_as_source","90_import_rohdaten_or_quelle/interne_extraktion","","generated_content_may_duplicate_cases"
"abbruchmethode.md","abbruchmethode.md","Type","Abbruchmethode","94","0","","0","0","0","","merge_into_index","rueckbauverfahren/index","","old_schema_file_not_content_node"
"abbruchmethode\Ausbau_von_Bauteilen.md","abbruchmethode","Abbruchmethode","","15699","13","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Ziel | Voraussetzungen | Ablauf | Typische Werkzeuge und Hilfsmittel","9","4","0","component_inventory;external_urls;wikilinks;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","move_as_knot","rueckbauverfahren/Ausbau_von_Bauteilen","",""
"abbruchmethode\Betonfräsen.md","abbruchmethode","Abbruchmethode","","80","0","","0","0","0","","move_as_knot","rueckbauverfahren/Betonfraesen","",""
"abbruchmethode\Demontage.md","abbruchmethode","Abbruchmethode","","14420","13","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Ziel | Grundprinzipien | Ablauf | Typische Werkzeuge","7","4","0","external_urls;wikilinks;has_sources_section;platform_terms;numeric_or_metric_terms","move_as_knot","rueckbauverfahren/Demontage","",""
"abbruchmethode\index.md","abbruchmethode","Abbruchmethode","Abbruchmethoden – Index","5483","6","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder","0","1","0","wikilinks;numeric_or_metric_terms","merge_into_index","rueckbauverfahren/index","","index_content_may_contain_unique_gaps_or_cluster_lists"
"abbruchmethode\Selektiver_Rueckbau.md","abbruchmethode","Abbruchmethode","","15071","13","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Ziel | Voraussetzungen | Typischer Ablauf | Typische Werkzeuge und Verfahren","8","5","0","component_inventory;external_urls;wikilinks;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","move_as_knot","rueckbauverfahren/Selektiver_Rueckbau","",""
"abbruchmethode\Zerstoerungsarme_Bergung.md","abbruchmethode","Abbruchmethode","","15825","14","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Ziel | Entscheidungskriterien | Ablauf | Typische Werkzeuge und Schutzmaßnahmen","7","4","0","external_urls;wikilinks;has_sources_section;platform_terms;numeric_or_metric_terms","move_as_knot","rueckbauverfahren/Zerstoerungsarme_Bergung","",""
"AGENTS.md","AGENTS.md","","","308","0","","0","0","0","","keep_meta","meta/repo_instruction","",""
"akteur\01_oeffentliche_institutionen_foerderung\BBSR_Zukunft_Bau.md","akteur","","","4955","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;numeric_or_metric_terms","move_as_core","akteur/BBSR_Zukunft_Bau","akteurtyp/oeffentliche_institutionen_foerderung",""
"akteur\01_oeffentliche_institutionen_foerderung\BIM_Berlin.md","akteur","","BIM Berlin — vertieftes Forschungsdossier","50972","115","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Akteursprofil | Typische ReUse-Prozesskette für einen öffentlichen Bestandhalter | Belastbare Kriterien für BIM als ReUse-Akteur | Netzwerkbeziehungen","17","0","0","external_urls;has_sources_section;certification_terms;platform_terms;donor_receiver_terms;numeric_or_metric_terms","move_as_core","akteur/BIM_Berlin","akteurtyp/oeffentliche_institutionen_foerderung",""
"akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Bauakademie.md","akteur","","","5129","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;certification_terms;numeric_or_metric_terms","move_as_core","akteur/Bundesstiftung_Bauakademie","akteurtyp/oeffentliche_institutionen_foerderung",""
"akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Baukultur.md","akteur","","","5062","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;numeric_or_metric_terms","move_as_core","akteur/Bundesstiftung_Baukultur","akteurtyp/oeffentliche_institutionen_foerderung",""
"akteur\01_oeffentliche_institutionen_foerderung\ReUse_Berlin.md","akteur","","","5324","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;certification_terms;numeric_or_metric_terms","move_as_core","akteur/ReUse_Berlin","akteurtyp/oeffentliche_institutionen_foerderung",""
"akteur\01_oeffentliche_institutionen_foerderung\Umweltbundesamt.md","akteur","","","5029","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;numeric_or_metric_terms","move_as_core","akteur/Umweltbundesamt","akteurtyp/oeffentliche_institutionen_foerderung",""
"akteur\02_kammern_verbaende_ngos_netzwerke\Architects_for_Future_Deutschland.md","akteur","","","5811","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;certification_terms;numeric_or_metric_terms","move_as_core","akteur/Architects_for_Future_Deutschland","akteurtyp/kammern_verbaende_ngos_netzwerke",""
"akteur\02_kammern_verbaende_ngos_netzwerke\Architektenkammer_Berlin_A_Wie_Zirkulaer.md","akteur","","","5072","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;numeric_or_metric_terms","move_as_core","akteur/Architektenkammer_Berlin_A_Wie_Zirkulaer","akteurtyp/kammern_verbaende_ngos_netzwerke",""
"akteur\02_kammern_verbaende_ngos_netzwerke\BDA_Bund_Deutscher_Architektinnen_Architekten.md","akteur","","","5179","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","5","0","0","external_urls;has_sources_section;certification_terms;numeric_or_metric_terms","move_as_core","akteur/BDA_Bund_Deutscher_Architektinnen_Architekten","akteurtyp/kammern_verbaende_ngos_netzwerke",""
"akteur\02_kammern_verbaende_ngos_netzwerke\C2C_NGO.md","akteur","","","4806","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","5","0","0","external_urls;has_sources_section;certification_terms;numeric_or_metric_terms","move_as_core","akteur/C2C_NGO","akteurtyp/kammern_verbaende_ngos_netzwerke",""
"akteur\02_kammern_verbaende_ngos_netzwerke\Circular_Berlin.md","akteur","","","5031","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;numeric_or_metric_terms","move_as_core","akteur/Circular_Berlin","akteurtyp/kammern_verbaende_ngos_netzwerke",""
"akteur\02_kammern_verbaende_ngos_netzwerke\DGNB.md","akteur","","","5162","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","5","0","0","external_urls;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","move_as_core","akteur/DGNB","akteurtyp/kammern_verbaende_ngos_netzwerke",""
"akteur\02_kammern_verbaende_ngos_netzwerke\Phase_Nachhaltigkeit.md","akteur","","","5033","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;certification_terms;numeric_or_metric_terms","move_as_core","akteur/Phase_Nachhaltigkeit","akteurtyp/kammern_verbaende_ngos_netzwerke",""
"akteur\02_kammern_verbaende_ngos_netzwerke\re_source_Stiftung.md","akteur","","re!source Stiftung e.V.","3194","7","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Praxisbezug / Beispiele | Herausforderungen / offene Fragen | Quellen","4","9","0","external_urls;wikilinks;has_sources_section;certification_terms","move_as_core","akteur/re_source_Stiftung","akteurtyp/kammern_verbaende_ngos_netzwerke",""
"akteur\03_forschung_lehre_wissenstransfer\Bauhaus_Erde.md","akteur","","","4898","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;numeric_or_metric_terms","move_as_core","akteur/Bauhaus_Erde","akteurtyp/forschung_lehre_wissenstransfer",""
"akteur\03_forschung_lehre_wissenstransfer\Natural_Building_Lab.md","akteur","","B(e) Ware / Natural Building Lab — vertieftes Forschungsdossier","43300","117","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Akteursprofil | Rolle im ReUse-Ökosystem | Methoden | Bedeutung für den Forschungsstand","13","0","0","external_urls;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","move_as_core","akteur/Natural_Building_Lab","akteurtyp/forschung_lehre_wissenstransfer",""
"akteur\03_forschung_lehre_wissenstransfer\VDI_ZRE.md","akteur","","","5041","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;platform_terms;numeric_or_metric_terms","move_as_core","akteur/VDI_ZRE","akteurtyp/forschung_lehre_wissenstransfer",""
"akteur\03_forschung_lehre_wissenstransfer\Wuppertal_Institut.md","akteur","","","4851","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;numeric_or_metric_terms","move_as_core","akteur/Wuppertal_Institut","akteurtyp/forschung_lehre_wissenstransfer",""
"akteur\04_planung_architektur_ingenieurwesen\baubuero_in_situ_zirkular.md","akteur","","baubüro in situ + Zirkular","23231","31","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Entwerfen mit vorhandenen Bauteilen | Bauteiljagd, Gebäudescreening und Bauteilkatalog | Planular® als Prozess- und Datenmodell | Neue Arbeitsteilung zwischen Architektur und Reuse-Fachplanung","21","17","0","external_urls;wikilinks;has_sources_section;numeric_or_metric_terms","move_as_core","akteur/baubuero_in_situ_zirkular","akteurtyp/planung_architektur_ingenieurwesen",""
"akteur\04_planung_architektur_ingenieurwesen\Bellastock.md","akteur","","Bellastock","21692","32","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Institutionelle Einordnung | Methodischer Kern: vom Gisement zum Domaine d’emploi | ReUse als Entwurfs- und Projektmanagementaufgabe | Territorialer Maßstab und urbane Mine","11","16","0","external_urls;wikilinks;has_sources_section;platform_terms;numeric_or_metric_terms","move_as_core","akteur/Bellastock","akteurtyp/planung_architektur_ingenieurwesen",""
"akteur\04_planung_architektur_ingenieurwesen\Circular_Structural_Design.md","akteur","","Circular Structural Design","11480","23","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Zirkuläre Tragwerksplanung | ReCreate und Wiederverwendung von Stahlbetonfertigteilen | Form-Follows-Availability | BIM-gestützter Rückbau und Dokumentation","8","12","0","external_urls;wikilinks;has_sources_section;certification_terms;platform_terms;numeric_or_metric_terms","move_as_core","akteur/Circular_Structural_Design","akteurtyp/planung_architektur_ingenieurwesen",""
"akteur\04_planung_architektur_ingenieurwesen\CITYFOERSTER.md","akteur","","","5140","8","Verknüpfungen | Kurzüberblick zur Kategorie | Zentrale Unterthemen | Wichtige Dateien dieser Kategorie mit je 1–3 Sätzen Einordnung | Relevanz für Wiederverwendung / Entwerfen mit Bestand | Querverbindungen zu anderen Kategorien | Offene Lücken / Ausbaufelder | Quellen / Bezugslogik","4","0","0","external_urls;has_sources_section;certification_terms;numeric_or_metric_terms","move_as_core","akteur/CITYFOERSTER","akteurtyp/planung_architektur_ingenieurwesen",""
"akteur\04_planung_architektur_ingenieurwesen\Huetten_und_Palaeste.md","akteur","","Huetten_und_Palaeste","11773","24","Verknüpfungen | Kurzdefinition | Relevanz für Wiederverwendung im Bauwesen | Fachinhalt | Bestandsaktivierung und minimalinvasive Transformation | Zirkulärer Bau als Raum- und Prozessmodell | Umbaukultur und selektive Entnahme | Flexible und rekonfigurierbare Räume","8","12","0","external_urls;wikilinks;has_sources_section;numeric_or_metric_terms","move_as_core","akteur/Huetten_und_Palaeste","akteurtyp/planung_architektur_ingenieurwesen",""
